trial_id,source_image,category,image_id,difficulty,n_colors,chroma_boost,min_lightness
1,brick/0291.jpg,brick,0291,0.30,5,,
2,amethyst/0063.jpg,amethyst,0063,0.30,5,,
3,fleece/1064.jpg,fleece,1064,0.30,5,,
4,gauze/1245.jpg,gauze,1245,0.30,5,,
5,emerald/0939.jpg,emerald,0939,0.30,4,,
6,cellophane/0454.jpg,cellophane,0454,0.30,4,,
7,silk/2764.jpg,silk,2764,0.30,4,,
8,porcelain/2326.jpg,porcelain,2326,0.30,4,,
9,plastic/2241.jpg,plastic,2241,0.30,3,,
10,chiffon/0580.jpg,chiffon,0580,0.30,3,,
11,granite/1331.jpg,granite,1331,0.30,3,,
12,ember/0921.jpg,ember,0921,0.30,3,,
13,quartzite/2383.jpg,quartzite,2383,0.25,5,,
14,moss/1832.jpg,moss,1832,0.25,5,,
15,sandstone/2606.jpg,sandstone,2606,0.25,5,,
16,lava/1601.jpg,lava,1601,0.25,5,,
17,onyx/1997.jpg,onyx,1997,0.25,4,,
18,brownstone/0330.jpg,brownstone,0330,0.25,4,,
19,terracotta/3119.jpg,terracotta,3119,0.25,4,,
20,oilpaper/1955.jpg,oilpaper,1955,0.25,4,,
21,sapphire/2631.jpg,sapphire,2631,0.25,3,,
22,gelatin/1275.jpg,gelatin,1275,0.25,3,,
23,resin/2433.jpg,resin,2433,0.25,3,,
24,bone/0228.jpg,bone,0228,0.25,3,,
25,satin/2653.jpg,satin,2653,0.20,5,,
26,amber/0047.jpg,amber,0047,0.20,5,,
27,pearl/2118.jpg,pearl,2118,0.20,5,,
28,leather/1634.jpg,leather,1634,0.20,5,,
29,tin/3134.jpg,tin,3134,0.20,4,,
30,plaster/2215.jpg,plaster,2215,0.20,4,,
31,cobalt/0659.jpg,cobalt,0659,0.20,4,,
32,satinwood/2674.jpg,satinwood,2674,0.20,4,,
33,pottery/2342.jpg,pottery,2342,0.20,3,,
34,shell/2711.jpg,shell,2711,0.20,3,,
35,garnet/1231.jpg,garnet,1231,0.20,3,,
36,frankincense/1176.jpg,frankincense,1176,0.20,3,,
37,copper/0717.jpg,copper,0717,0.15,5,,
38,wool/3452.jpg,wool,3452,0.15,5,,
39,play_dough/2284.jpg,play_dough,2284,0.15,5,,
40,crepe_paper/0837.jpg,crepe_paper,0837,0.15,5,,
41,foliage/1156.jpg,foliage,1156,0.15,4,,
42,rhinestone/2450.jpg,rhinestone,2450,0.15,4,,
43,bronze/0311.jpg,bronze,0311,0.15,4,,
44,opal/2008.jpg,opal,2008,0.15,4,,
45,sequin/2693.jpg,sequin,2693,0.15,3,,
46,flame/1025.jpg,flame,1025,0.15,3,,
47,moonstone/1802.jpg,moonstone,1802,0.15,3,,
48,coral/0739.jpg,coral,0739,0.15,3,,
49,clay/0627.jpg,clay,0627,0.10,5,,
50,sponge/2924.jpg,sponge,2924,0.10,5,,
51,marble/1756.jpg,marble,1756,0.10,5,,
52,suede/2973.jpg,suede,2973,0.10,5,,
53,ice/1462.jpg,ice,1462,0.10,4,,
54,fluorine/1108.jpg,fluorine,1108,0.10,4,,
55,flint/1090.jpg,flint,1090,0.10,4,,
56,egg_shell/0904.jpg,egg_shell,0904,0.10,4,,
57,ruby/2514.jpg,ruby,2514,0.10,3,,
58,paint/2029.jpg,paint,2029,0.10,3,,
59,jade/1531.jpg,jade,1531,0.10,3,,
60,velvet/3368.jpg,velvet,3368,0.10,3,,
61,paint/2023.jpg,paint,2023,0.30,5,,
62,paint/2037.jpg,paint,2037,0.25,4,,
63,paint/2027.jpg,paint,2027,0.20,3,,
64,paint/2030.jpg,paint,2030,0.15,5,,
65,paint/2033.jpg,paint,2033,0.10,4,,
66,paint/2036.jpg,paint,2036,0.30,3,,
67,paint/2039.jpg,paint,2039,0.25,5,,
68,paint/2042.jpg,paint,2042,0.20,4,,
69,play_dough/2270.jpg,play_dough,2270,0.30,5,,
70,play_dough/2271.jpg,play_dough,2271,0.25,4,,
71,play_dough/2273.jpg,play_dough,2273,0.20,3,,
72,play_dough/2274.jpg,play_dough,2274,0.15,5,,
73,play_dough/2277.jpg,play_dough,2277,0.10,4,,
74,play_dough/2279.jpg,play_dough,2279,0.30,3,,
75,play_dough/2281.jpg,play_dough,2281,0.25,5,,
76,play_dough/2283.jpg,play_dough,2283,0.20,4,,
77,play_dough/2273.jpg,play_dough,2273,0.20,3,2.5,
78,soap/2876.jpg,soap,2876,0.30,5,,
79,soap/2883.jpg,soap,2883,0.20,4,,
80,soap/2870.jpg,soap,2870,0.10,3,,
81,algae/0001.jpg,algae,0001,0.25,5,,15
82,crepe_paper/0841.jpg,crepe_paper,0841,0.15,4,,
83,crepe_paper/0838.jpg,crepe_paper,0838,0.25,5,,
84,foliage/1149.jpg,foliage,1149,0.20,4,,
85,flannel/1057.jpg,flannel,1057,0.15,5,,
86,microfiber/1783.jpg,microfiber,1783,0.10,3,,
