trial_id,category,same3_image,diff1_category,diff1_image,min_dist,normalize,crop_source_size,notes
1,rhinestone,2460,rhinestone,2458,200,False,300,
2,obsidian,1895,obsidian,1892,200,False,300,
3,nylon,1882,nylon,1880,200,False,300,
4,lead,1626,lead,1627,200,False,300,
5,latex,1581,latex,1582,200,False,300,
6,jade,1528,amber,0053,200,False,400,cross-category oddball
7,ice,1450,ice,1467,200,False,300,
8,horn,1440,horn,1439,200,False,300,
9,gold,1321,gold,1322,200,False,300,
10,garnet,1240,garnet,1234,200,False,300,
11,flint,1093,flint,1085,200,False,500,
12,fat,0953,fat,0962,200,False,400,
13,ember,0930,ember,0932,200,False,400,
14,egg_shell,0898,cork,0783,200,False,300,cross-category oddball
15,glue,1298,glue,1295,200,False,400,
16,obsidian,1908,obsidian,1906,200,False,400,second obsidian pair
17,glue,1298,glue,1303,200,False,400,compare against glue/1295
