trial_id,source_image,category,image_id,difficulty,n_colors,chroma_boost,min_lightness
1,brick/0291.jpg,brick,291,0.3,5,,
2,amethyst/0064.jpg,amethyst,64,0.3,5,,
3,fleece/1064.jpg,fleece,1064,0.3,5,,
4,gauze/1245.jpg,gauze,1245,0.3,5,,
5,emerald/0938.jpg,emerald,938,0.3,4,,
6,cellophane/0454.jpg,cellophane,454,0.3,4,,
7,silk/2764.jpg,silk,2764,0.3,4,,
8,porcelain/2326.jpg,porcelain,2326,0.3,4,,
9,plastic/2241.jpg,plastic,2241,0.3,3,,
10,chiffon/0580.jpg,chiffon,580,0.3,3,,
11,granite/1331.jpg,granite,1331,0.3,3,,
12,ember/0916.jpg,ember,916,0.3,3,,
61,paint/2023.jpg,paint,2023,0.3,5,,
66,paint/2036.jpg,paint,2036,0.3,3,,
69,play_dough/2270.jpg,play_dough,2270,0.3,5,,
74,play_dough/2279.jpg,play_dough,2279,0.3,3,,
78,soap/2876.jpg,soap,2876,0.3,5,,
13,quartzite/2383.jpg,quartzite,2383,0.25,5,,
14,moss/1832.jpg,moss,1832,0.25,5,,15
15,sandstone/2606.jpg,sandstone,2606,0.25,5,,
16,lava/1601.jpg,lava,1601,0.25,5,,
17,onyx/1997.jpg,onyx,1997,0.25,4,,
18,brownstone/0330.jpg,brownstone,330,0.25,4,,
19,terracotta/3119.jpg,terracotta,3119,0.25,4,,
20,oilpaper/1955.jpg,oilpaper,1955,0.25,4,,
21,sapphire/2631.jpg,sapphire,2631,0.25,3,,
22,gelatin/1275.jpg,gelatin,1275,0.25,3,,
23,resin/2433.jpg,resin,2433,0.25,3,,
24,bone/0228.jpg,bone,228,0.25,3,,
62,paint/2037.jpg,paint,2037,0.25,4,,
67,paint/2039.jpg,paint,2039,0.25,5,,
70,play_dough/2271.jpg,play_dough,2271,0.25,4,,
75,play_dough/2281.jpg,play_dough,2281,0.25,5,,
81,algae/0001.jpg,algae,1,0.25,5,,15
83,crepe_paper/0838.jpg,crepe_paper,838,0.25,5,,
25,satin/2653.jpg,satin,2653,0.2,5,,
26,amber/0047.jpg,amber,47,0.2,5,,
27,pearl/2118.jpg,pearl,2118,0.2,5,,
28,leather/1634.jpg,leather,1634,0.2,5,,
29,tin/3134.jpg,tin,3134,0.2,4,,
30,plaster/2215.jpg,plaster,2215,0.2,4,,
31,cobalt/0659.jpg,cobalt,659,0.2,4,,
32,satinwood/2674.jpg,satinwood,2674,0.2,4,,
33,pottery/2342.jpg,pottery,2342,0.2,3,,
34,shell/2711.jpg,shell,2711,0.2,3,,
35,garnet/1231.jpg,garnet,1231,0.2,3,,
36,frankincense/1176.jpg,frankincense,1176,0.2,3,,
63,paint/2027.jpg,paint,2027,0.2,3,,
68,paint/2042.jpg,paint,2042,0.2,4,,
71,play_dough/2273.jpg,play_dough,2273,0.2,3,,
76,play_dough/2283.jpg,play_dough,2283,0.2,4,,
77,play_dough/2273.jpg,play_dough,2273,0.2,3,2.5,
79,soap/2883.jpg,soap,2883,0.2,4,,
84,foliage/1149.jpg,foliage,1149,0.2,4,,
37,copper/0717.jpg,copper,717,0.15,5,,
38,wool/3452.jpg,wool,3452,0.15,5,,
39,play_dough/2284.jpg,play_dough,2284,0.15,5,,
40,crepe_paper/0837.jpg,crepe_paper,837,0.15,5,,
41,foliage/1156.jpg,foliage,1156,0.15,4,,
42,rhinestone/2450.jpg,rhinestone,2450,0.15,4,,
43,bronze/0311.jpg,bronze,311,0.15,4,,
44,opal/2008.jpg,opal,2008,0.15,4,,
45,sequin/2693.jpg,sequin,2693,0.15,3,,
46,flame/1025.jpg,flame,1025,0.15,3,,
47,moonstone/1802.jpg,moonstone,1802,0.15,3,,
48,coral/0739.jpg,coral,739,0.15,3,,
64,paint/2030.jpg,paint,2030,0.15,5,,
72,play_dough/2274.jpg,play_dough,2274,0.15,5,,
82,crepe_paper/0841.jpg,crepe_paper,841,0.15,4,,
85,flannel/1057.jpg,flannel,1057,0.15,5,,
49,clay/0627.jpg,clay,627,0.1,5,,
50,sponge/2924.jpg,sponge,2924,0.1,5,,
51,marble/1756.jpg,marble,1756,0.1,5,,
52,suede/2973.jpg,suede,2973,0.1,5,,
53,ice/1462.jpg,ice,1462,0.1,4,,
54,fluorine/1108.jpg,fluorine,1108,0.1,4,,
55,flint/1090.jpg,flint,1090,0.1,4,,
56,egg_shell/0904.jpg,egg_shell,904,0.1,4,,
57,ruby/2514.jpg,ruby,2514,0.1,3,,
58,paint/2029.jpg,paint,2029,0.1,3,,
59,jade/1531.jpg,jade,1531,0.1,3,,
60,velvet/3368.jpg,velvet,3368,0.1,3,,
65,paint/2033.jpg,paint,2033,0.1,4,,
73,play_dough/2277.jpg,play_dough,2277,0.1,4,,
80,soap/2870.jpg,soap,2870,0.1,3,,
86,microfiber/1783.jpg,microfiber,1783,0.1,3,,
